SA1_MAIN16,dist,duration,n_mesh_blocks
,13988.478165878105,21.8089552238806,67
10903118304,21890.154719104128,28.4,1
10903118407,2425.633425296918,4.2,1
10903118416,7645.667523684938,11,1
10903118507,13077.357146526218,15.3,1
10903118508,5762.066575720295,34,1
20101100101,4165.332963954543,6.625,4
20101100102,4587.159411653755,6.9,1
20101100105,2943.1494368346735,5.233333333333333,6
20101100106,4008.218638681928,6.7,9
20101100107,2930.9761775562283,4.9799999999999995,5
20101100108,3428.4755165191614,5.6625,8
20101100109,3656.633415480695,5.466666666666667,6
20101100110,5412.437730795533,7.925,4
20101100111,5386.9576003311295,8.633333333333333,3
20101100112,4946.324362781757,7.85,4
20101100113,5449.194194187343,8.733333333333334,3
20101100114,4569.739752487762,7.2,7
20101100115,13270.37769589853,17.18,5
20101100117,4126.895736663246,6.316666666666666,12
20101100118,4705.009335620699,8.5,2
20101100119,7038.909564433498,11.75,4
20101100120,5386.041731123792,8.3125,8
20101100121,4054.1001099935042,8.32,5
20101100122,6934.801073813677,10.735,20
20101100123,5219.164253346925,9.090909090909092,11
20101100124,4620.137145329095,7.825,4
20101100201,3617.6885082018202,6.7,5
20101100202,3076.399514374569,5.75,6
20101100203,3257.3033164152594,5.95,4
20101100204,3369.4604427834865,6.275,4
20101100205,1563.3016726980993,4.075,8
20101100206,1556.165108142439,3.8666666666666667,3
20101100207,1097.0922475095813,3.0166666666666666,6
20101100208,1613.5733327079636,3.0818181818181816,11
20101100209,1869.6078049181763,3.911764705882353,17
20101100210,2280.9757763133657,5.2,1
20101100211,1420.4585168368694,3.6333333333333333,6
20101100212,487.71873009820246,1.6714285714285715,7
20101100213,748.7596696779779,2.2666666666666666,6
20101100214,1128.6668204444193,3.0666666666666664,6
20101100215,1101.26197508418,2.05,8
20101100216,1329.024593171477,3,7
20101100217,327.2657131048262,1.1571428571428573,14
20101100218,605.4915526410452,1.3333333333333333,6
20101100219,1065.0213904301165,2.5791666666666666,24
20101100220,562.6306516243862,1.9500000000000002,2
20101100221,930.7379845605825,2.3,7
20101100222,562.453613644579,1.788888888888889,9
20101100223,900.9376935938459,2.2777777777777777,9
20101100224,1391.6175790622297,2.8857142857142857,7
20101100225,2708.945662139878,5.72,5
20101100226,403.8069548012039,0.9857142857142858,7
20101100227,693.285781468188,2.05,4
20101100228,2237.711537521014,5.04,5
20101100229,1797.877445810219,3.52,5
20101100230,1334.911200181181,3.42,5
