SA2_MAIN16,dist,duration,n_mesh_blocks
,14942.535097091019,22.654545454545456,55
109031183,21855.113121152965,29.75,2
109031184,5035.650474490928,7.6,2
109031185,9419.711861123256,24.65,2
201011001,5162.763577606915,8.194656488549619,131
201011002,1321.0901213337374,2.9945378151260504,238
201011003,3368.40248234573,6.809444444444445,360
201011004,3468.236131576754,6.352054794520548,365
201011005,9548.991080580836,14.618823529411765,85
201011006,4382.115622905651,8.357894736842105,76
201011007,11592.259747200993,19.766666666666666,30
201011008,4660.66086233324,7.893203883495145,206
201021009,25321.7192290665,33.687619047619044,105
201021010,19229.4435163943,24.759574468085106,188
201021011,8006.740200585727,13.343620178041544,337
201021012,20365.88893435445,30.591666666666665,96
201031013,29759.752717242965,35.257425742574256,101
201031014,39232.15973741631,43.46509433962264,106
201031015,24431.719506433237,31.708045977011494,87
201031016,1356.6705409879273,3.330722891566265,166
201031017,15740.176885839366,23.446938775510205,245
202011018,1461.2995856993366,3.742140468227425,299
202011019,4107.844477396615,7.8,191
202011020,3012.6642309597355,6.193488372093023,215
202011021,3789.69275257753,7.458503401360544,147
202011022,5518.684024738262,9.495107033639144,327
202011023,6253.531637463785,10.085,60
202011024,2539.2255097855536,6.138,100
202011025,5863.863086415372,9.620338983050848,177
202021026,12644.762100895427,19.860377358490567,106
202021027,29205.431642526695,34.31787439613527,207
202021028,25006.825615506274,37.74563492063492,252
202021029,30066.130855503878,39.26161616161616,99
202021030,4744.3046979272685,8.957309941520467,171
202021031,13100.154689076253,15.73953488372093,86
202031032,21115.132126801003,28.278899082568806,109
202031033,34707.088140558095,36.3827731092437,238
203011034,16363.8239220743,22.881034482758622,58
203011035,30112.587734585657,37.83063063063063,111
203011036,22022.157044043663,27.3,98
203021037,1742.28061871937,3.763106796116505,206
203021038,1742.2644601508184,4.443287671232877,365
203021039,1012.1473146793693,2.868,275
203021040,3129.7127651068195,6.369805194805195,308
203021041,2480.0107723374836,5.4498113207547165,265
203021042,2505.993045372274,5.619924812030075,266
203021043,9050.024765866121,13.462085308056873,211
203021044,7103.74495605066,9.584905660377359,159
203021045,1527.643485991442,3.863942307692308,208
203021046,2309.553247529549,4.8464285714285715,252
203021047,3077.8017300414135,6.614396887159533,257
203031048,12019.057623474793,17.879591836734694,245
203031049,10633.612238694137,17.149819494584836,277
203031050,3045.7906208544564,6.5982102908277405,447
203031051,20456.532216445725,27.399625468164793,267
203031052,10226.76441277116,15.230573248407643,157
203031053,2201.7575127739015,4.693979933110368,299
204011054,14628.258971281946,23.976666666666667,180
204011055,37019.5158573274,43.15942028985507,138
204011056,6554.585238281401,10.153807106598984,197
204011057,27376.59619951897,57.4109375,256
204011058,24651.41993923195,28.433720930232557,86
204011059,1443.9065959770385,4.129464285714286,112
204011060,18033.31705782966,27.39,60
204011061,29614.458435114837,52.93333333333334,15
204011062,25854.36532083455,43.80568181818182,88
204021063,2013.326160641909,4.854166666666667,168
204021064,22433.88635256625,35.82065217391305,92
204021065,33993.64904384126,36.31868131868132,91
204021066,1737.9332193907228,4.708923076923077,325
204021067,23078.536432376866,39.20733944954129,218
204031068,30125.52172769302,38.06428571428572,98
204031069,26790.60380841703,55.96,255
204031070,22871.308511237694,28.7953125,64
204031071,43486.24106737365,49.31743119266055,109
204031072,52487.03533400471,77.0489539748954,239
204031073,3091.984454583625,6.973604060913706,197
204031074,2284.305074403449,4.831862745098039,408
204031075,22559.047192485017,29.825316455696203,79
205011076,10097.984263194045,16.136269430051815,193
205011077,24455.9758187476,39.75464480874317,183
205011078,17652.723989047776,23.485714285714288,112
205011079,2565.4184890179426,6.6563218390804595,261
205021080,72372.71410602317,183.68571428571428,14
205021081,2198.0251822840214,5.28109243697479,238
205021082,32466.5216891551,62.04620253164557,316
205021083,16280.188080824117,90.28750000000001,8
205021084,31156.395940439586,37.54828897338403,263
205021085,107336.67524684437,123.32191780821918,365
205021086,13160.457720007105,41.91132075471698,159
205031087,16295.19761770142,25.93154761904762,336
205031088,12221.921392368879,103.55,6
205031089,26500.3433140438,38.559016393442626,122
205031090,27794.471069755462,34.81754385964912,171
205031091,4824.875332566669,7.711627906976744,430
205031092,43906.348747340635,57.91428571428571,7
205031093,9995.403808161687,15.45104761904762,525
205041094,11780.465735004269,19.81206896551724,174
205041095,12690.964034177483,13.369896193771627,289
205041096,1907.3411748387518,4.330708661417323,254
205041097,1742.7948454657062,4.036787564766839,386
205041098,10948.240610053164,16.392307692307693,65
205051099,47088.63339524927,232.41290322580645,31
205051100,24739.069939041176,68.23776223776224,429
205051101,25416.163832471328,34.06917293233083,266
205051102,20386.495491308113,25.51891891891892,74
205051103,1638.2949070924722,3.887966804979253,241
205051104,39418.86525865377,56.847131147540985,244
206011105,3155.7119059644583,8.200826446280992,363
206011106,3384.424479390383,5.685906040268456,149
206011107,2564.406384653737,6.576213592233009,206
206011108,4116.712744135205,7.980124223602484,322
206011109,2695.242091751389,5.001694915254237,118
206021110,3289.82848393112,6.438345864661654,133
206021111,2997.6439486945933,5.8098214285714285,336
206021112,3148.9352146134497,6.567415730337078,267
206031113,682.8413799525778,2.3348314606741574,178
206031114,1959.4418552600912,4.484297520661157,363
206031115,450.6505664469689,2,122
206031116,1599.0336045266336,4.121761658031088,193
206041117,652.0324642305001,2.236315789473684,190
206041118,1334.9632932472282,3.5313725490196077,51
206041119,1142.1137806862826,2.896551724137931,87
206041120,667.2586517730556,5.3,1
206041121,959.8681622438367,2.9836477987421386,159
206041122,1178.6815630547833,3.313076923076923,260
206041123,476.39028495055237,1.7004347826086956,230
206041124,864.2197274528829,3.6731182795698927,93
206041125,991.1934386888738,2.4988505747126437,87
206041126,1612.5208365441345,4.3405172413793105,116
206041127,1883.5125960526611,6.114285714285715,14
206051128,853.1514716556925,3.2693396226415095,212
206051129,3780.668264334608,6.735864978902954,237
206051130,980.9701344959586,2.3874371859296484,199
206051131,2002.6283714169133,4.797777777777778,45
206051132,905.518082445707,2.6166666666666667,216
206051133,1944.5352357617753,4.226932084309134,427
206051134,2295.170795517594,3.8715953307392996,257
206061135,2549.526814775839,4.581290322580645,155
206061136,923.9362878405748,2.0833865814696484,313
206061137,900.7699243580324,2.136065573770492,305
206061138,1934.1456004944848,3.728909952606635,211
206071139,869.954137807975,2.183177570093458,107
206071140,1561.5780208289345,3.6517543859649124,114
206071141,607.4479947276676,1.8483333333333334,120
206071142,503.6111968062136,1.9801136363636365,176
206071143,1791.7929806620318,3.648603351955307,179
206071144,2250.3222511962804,4.870686456400742,539
206071145,1657.1285643466756,3.944155844155844,154
207011146,1347.7425262279019,4.666,100
207011147,3442.111796478453,5.725345622119816,217
207011148,3314.344144887827,6.903478260869565,230
207011149,4077.0187746619404,8.002592592592592,270
207011150,2838.8050743283043,7.039320388349514,206
207011151,3949.3227631401182,7.509480122324159,327
207011152,5177.440991801561,9.363725490196078,204
207011153,3922.9039615742945,6.205813953488372,344
207011154,4071.373537298087,7.251546391752577,97
207011155,3207.978135741843,5.685585585585586,222
207021156,2225.0763495529627,4.954362416107383,149
207021157,3329.5545684724734,5.65859375,256
207021159,5199.565305168802,9.453591160220995,181
207021160,3887.6774322973642,6.8751677852349,149
207021424,6068.304141476836,10.793710691823899,159
207021425,4244.398677078006,7.773714285714286,175
207031161,2897.913138244635,5.9522968197879855,283
207031162,2495.3238831237813,5.1043859649122805,114
